id,user_id,created,updated,place_id,status,type
60594,423,2021-02-08 21:19:10+00:00,2022-08-02 23:17:26+00:00,59897,Inactive,Discount on specific menu items
60609,423,2021-02-08 21:27:37+00:00,2022-08-02 23:17:30+00:00,59897,Inactive,Discount on specific menu items
60610,423,2021-02-08 21:39:53+00:00,2022-08-02 23:17:30+00:00,59821,Inactive,2 for 1 on specific menu items
60611,423,2021-02-08 21:41:33+00:00,2022-08-02 23:17:30+00:00,59821,Inactive,Discount on specific menu items
61343,423,2021-02-25 13:59:30+00:00,2022-08-02 23:17:59+00:00,59821,Inactive,Discount on total bill
61353,423,2021-02-26 00:09:45+00:00,2022-08-02 23:17:59+00:00,59897,Inactive,Discount on total bill
62087,423,2021-03-16 14:56:43+00:00,2022-08-02 23:19:28+00:00,59821,Inactive,Discount on total bill
62595,423,2021-03-22 14:29:00+00:00,2022-08-02 23:20:17+00:00,59821,Inactive,Discount on total bill
62667,423,2021-03-22 19:14:47+00:00,2022-08-02 23:20:17+00:00,59821,Inactive,Discount on total bill
62676,423,2021-03-22 23:55:37+00:00,2022-08-02 23:20:21+00:00,59897,Inactive,Discount on specific menu items
62714,423,2021-03-23 18:43:35+00:00,2022-08-02 23:20:21+00:00,59821,Inactive,Discount on total bill
63899,423,2021-04-11 13:15:48+00:00,2022-08-02 23:21:13+00:00,59897,Inactive,Discount on total bill
67973,417,2021-06-17 08:59:45+00:00,2022-08-02 23:24:44+00:00,59813,Inactive,Discount on specific menu items
68737,424,2021-07-03 00:13:05+00:00,2022-08-02 23:24:48+00:00,61698,Inactive,Freebie
68738,424,2021-07-03 00:41:21+00:00,2022-08-02 23:24:48+00:00,61698,Inactive,Freebie
69639,1201,2021-07-26 12:13:23+00:00,2022-08-02 23:25:00+00:00,67521,Inactive,Discount on total bill
70889,417,2021-08-23 15:06:58+00:00,2022-08-02 23:25:09+00:00,59897,Inactive,Freebie
71565,424,2021-09-06 06:33:37+00:00,2022-08-02 23:25:12+00:00,59897,Inactive,Discount on total bill
71566,424,2021-09-06 07:12:36+00:00,2022-08-02 23:25:12+00:00,59813,Inactive,Discount on total bill
71567,424,2021-09-06 07:13:30+00:00,2022-08-02 23:25:12+00:00,64276,Inactive,Discount on total bill
71568,424,2021-09-06 07:14:25+00:00,2022-09-30 12:00:01+00:00,67521,Inactive,Discount on total bill
71569,424,2021-09-06 07:18:22+00:00,2022-08-02 23:25:12+00:00,64643,Inactive,Discount on total bill
72092,417,2021-10-01 23:50:49+00:00,2022-08-02 23:25:12+00:00,59897,Inactive,2 for 1 on specific menu items
72306,417,2021-10-05 17:42:00+00:00,2022-08-02 23:25:12+00:00,59897,Inactive,2 for 1 on specific menu items
72372,1372,2021-10-06 13:43:07+00:00,2022-08-02 23:25:22+00:00,59897,Inactive,Freebie
72512,417,2021-10-08 11:15:00+00:00,2022-08-02 23:25:29+00:00,59897,Inactive,2 for 1 on specific menu items
72526,417,2021-10-08 15:40:01+00:00,2022-08-02 23:25:29+00:00,59897,Inactive,2 for 1 on specific menu items
72628,417,2021-10-08 19:53:01+00:00,2022-08-02 23:25:29+00:00,59897,Inactive,2 for 1 on specific menu items
72654,417,2021-10-08 20:00:00+00:00,2022-08-02 23:25:29+00:00,59897,Inactive,2 for 1 on specific menu items
72655,417,2021-10-08 20:00:00+00:00,2022-08-02 23:25:29+00:00,59897,Inactive,2 for 1 on specific menu items
72892,417,2021-10-09 19:54:01+00:00,2022-08-02 23:25:29+00:00,59897,Inactive,2 for 1 on specific menu items
72894,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:29+00:00,59897,Inactive,2 for 1 on specific menu items
72895,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:29+00:00,59897,Inactive,2 for 1 on specific menu items
72896,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:29+00:00,59897,Inactive,2 for 1 on specific menu items
72897,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:29+00:00,59897,Inactive,2 for 1 on specific menu items
72898,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:58+00:00,59897,Inactive,2 for 1 on specific menu items
72899,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:58+00:00,59897,Inactive,2 for 1 on specific menu items
72926,417,2021-10-10 12:35:01+00:00,2022-08-02 23:25:58+00:00,59897,Inactive,2 for 1 on specific menu items
72928,417,2021-10-10 13:05:00+00:00,2022-08-02 23:25:58+00:00,59897,Inactive,2 for 1 on specific menu items
72930,417,2021-10-10 13:14:01+00:00,2022-08-02 23:25:58+00:00,59897,Inactive,2 for 1 on specific menu items
72932,417,2021-10-10 15:37:00+00:00,2022-08-02 23:25:58+00:00,59897,Inactive,2 for 1 on specific menu items
72934,417,2021-10-10 15:38:00+00:00,2022-08-02 23:25:58+00:00,59897,Inactive,2 for 1 on specific menu items
72936,417,2021-10-10 16:41:01+00:00,2022-08-02 23:25:58+00:00,59897,Inactive,2 for 1 on specific menu items
72938,417,2021-10-10 16:42:00+00:00,2022-08-02 23:25:58+00:00,59897,Inactive,2 for 1 on specific menu items
72939,417,2021-10-10 16:42:00+00:00,2022-08-02 23:25:58+00:00,59897,Inactive,2 for 1 on specific menu items
72965,417,2021-10-10 17:31:00+00:00,2022-08-02 23:26:30+00:00,59897,Inactive,2 for 1 on specific menu items
72972,417,2021-10-11 11:41:46+00:00,2022-08-02 23:26:30+00:00,64276,Inactive,Discount on specific menu items
73010,417,2021-10-11 17:07:01+00:00,2022-08-02 23:26:30+00:00,59897,Inactive,2 for 1 on specific menu items
73048,417,2021-10-12 16:22:01+00:00,2022-08-02 23:26:30+00:00,59897,Inactive,2 for 1 on specific menu items
73179,417,2021-10-13 20:00:01+00:00,2022-08-02 23:26:30+00:00,59897,Inactive,2 for 1 on specific menu items
73180,417,2021-10-13 20:00:01+00:00,2022-08-02 23:26:30+00:00,59897,Inactive,2 for 1 on specific menu items
73199,417,2021-10-14 15:08:00+00:00,2022-08-02 23:26:30+00:00,64276,Inactive,Discount on specific menu items
73201,417,2021-10-14 19:01:00+00:00,2022-08-02 23:26:30+00:00,64276,Inactive,Discount on specific menu items
73343,417,2021-10-16 17:14:00+00:00,2022-08-02 23:26:30+00:00,59897,Inactive,2 for 1 on specific menu items
73408,417,2021-10-17 15:44:00+00:00,2022-08-02 23:26:30+00:00,59897,Inactive,2 for 1 on specific menu items
73409,417,2021-10-17 15:44:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73460,417,2021-10-17 19:35:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73493,417,2021-10-18 15:24:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73495,417,2021-10-18 15:25:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73506,417,2021-10-18 18:49:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
