id,user_id,created,updated,title,age_group_ids,auto_created,item_ids,code,account_ids,delivery,eat_in,takeaway,discount,discount_type,start_date_time,end_date_time,freebie_id,monday_from,monday_to,tuesday_from,tuesday_to,wednesday_from,wednesday_to,thursday_from,thursday_to,friday_from,friday_to,saturday_from,saturday_to,sunday_from,sunday_to,gender_ids,goodie_bag_id,maximum_cltv,maximum_orders,minimum_cltv,minimum_orders,minimum_spend,parent_id,area_ids,place_id,price,provider,redemptions,redemptions_per_customer,status,table_id,tier_category_ids,type,used_redemptions,validity_hours,value,variation,visibility
60594,423,2021-02-08 21:19:10+00:00,2022-08-02 23:17:26+00:00,15% discount on Snickerskage,,,59932,,,,,,15.0,,2021-02-08 21:18:26+00:00,2021-02-15 21:18:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59897,,,14,,Inactive,,,Discount on specific menu items,0,,,,
60609,423,2021-02-08 21:27:37+00:00,2022-08-02 23:17:30+00:00,10% discount on Burger,,,60454,,,,,,10.0,,2021-02-09 13:00:00+00:00,2021-02-09 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59897,,,10,,Inactive,,,Discount on specific menu items,0,,,,
60610,423,2021-02-08 21:39:53+00:00,2022-08-02 23:17:30+00:00,2 for 1 on Organic Homemade Shakes,,,59830,,,,,,,,2021-02-08 21:39:28+00:00,2021-02-10 21:39:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59821,,,10,,Inactive,,,2 for 1 on specific menu items,0,,,,
60611,423,2021-02-08 21:41:33+00:00,2022-08-02 23:17:30+00:00,15% discount on Burgers,,,59827,,,,,,15.0,,2021-02-09 12:00:00+00:00,2021-02-09 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59821,,,17,,Inactive,,,Discount on specific menu items,0,,,,
61343,423,2021-02-25 13:59:30+00:00,2022-08-02 23:17:59+00:00,15% discount on total bill,,,,,,,,,15.0,,2021-02-25 14:00:00+00:00,2021-02-25 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59821,,,150,,Inactive,,,Discount on total bill,0,,,,
61353,423,2021-02-26 00:09:45+00:00,2022-08-02 23:17:59+00:00,15% discount on total bill,,,,,,,,,15.0,,2021-02-26 13:00:00+00:00,2021-02-28 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59897,,,197,,Inactive,,,Discount on total bill,9,,,,
62087,423,2021-03-16 14:56:43+00:00,2022-08-02 23:19:28+00:00,20% discount on total bill,,,,,,,,,20.0,,2021-03-17 13:00:00+00:00,2021-03-17 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59821,,,99,,Inactive,,,Discount on total bill,1,,,,
62595,423,2021-03-22 14:29:00+00:00,2022-08-02 23:20:17+00:00,20% discount on total bill,,,,,,,,,20.0,,2021-03-22 13:00:00+00:00,2021-03-22 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59821,,,100,,Inactive,,,Discount on total bill,0,,,,
62667,423,2021-03-22 19:14:47+00:00,2022-08-02 23:20:17+00:00,20% discount on total bill,,,,,,,,,20.0,,2021-03-23 13:00:00+00:00,2021-03-23 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59821,,,100,,Inactive,,,Discount on total bill,0,,,,
62676,423,2021-03-22 23:55:37+00:00,2022-08-02 23:20:21+00:00,33% discount on Wine and Dine,,,62669,,,,,,33.0,,2021-03-22 23:54:45+00:00,2021-03-24 21:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59897,,,30,,Inactive,,,Discount on specific menu items,0,,,,
62714,423,2021-03-23 18:43:35+00:00,2022-08-02 23:20:21+00:00,20% discount on total bill,,,,,,,,,20.0,,2021-03-24 13:00:00+00:00,2021-03-24 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59821,,,100,,Inactive,,,Discount on total bill,0,,,,
63899,423,2021-04-11 13:15:48+00:00,2022-08-02 23:21:13+00:00,20% discount on total bill,,,,,,,,,20.0,,2021-04-11 13:15:03+00:00,2021-04-11 21:59:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59897,,,199,,Inactive,,,Discount on total bill,3,,,,
67973,417,2021-06-17 08:59:45+00:00,2022-08-02 23:24:44+00:00,30% discount on Tre Retters Sommer Menu,,,67776,,,,,,30.0,,2021-06-16 22:00:00+00:00,2021-08-01 20:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,59813,,,76,,Inactive,,,Discount on specific menu items,14,,,,
