place_id,device_serial,device_product,item_id,item_name,order_count
59813,,,60067,Knækbrød,10
59813,,,67188,Salt mandler,7
59813,,,67190,Marinerede oliven,7
59813,,,67192,Rå-marinerede asparges salat,7
59813,,,67194,Fyldte tomater med basilikum-quinoa,14
59813,,,67195,Burger med kartoffelbåde,28
59813,,,67200,Sommersalat med spirer,8
59813,,,67202,Æble kage,7
59813,,,67203,Kokos-chokolade kugle,4
59813,,,67204,Raw gulerodskage,3
59813,,,67206,Søndags-brunch,10
59813,,,67220,"Boblende, fermenteret læskedrik",12
59813,,,67221,Pale Ale,7
59813,,,67223,Ginger Beer 25cl,8
59813,,,67224,Biodynamisk most fra Bellinghus,4
59813,,,67225,Biodynamisk saft fra Voelkel,12
59813,,,67240,Iskaffe,2
59813,,,67292,Unspecified,13
59813,,,67776,Tre Retters Sommer Menu,20
59813,,,67934,Brown Ale,3
59813,,,67943,Biodynamisk saft fra Voekel,5
59813,,,67944,Hjemmelavet golden latte,4
59813,,,67948,Americano,3
59813,,,67950,Café latte,2
59813,,,67951,Cortado,2
59813,,,67954,Korn-latte,3
59813,,,67955,Korn-chino,2
59813,,,68759,Blåbær-smooties,1
59813,,,69021,Melon-agurksuppe med sprøde forårsløg og vandmelon,3
59813,,,69022,Spidskål-wrap,6
59813,,,69611,Rabarber sodavand,4
59813,,,70234,Spinat-kartoffel pandekage,2
59813,,,70238,Raw gulerodskage med solbær coulis,1
59813,,,71188,Svampe-paté med brød,2
59813,,,71190,"Svampe fyldte squash med syltede sherry tomater, friske grønne bønner og hokkaidosauce.",2
59813,,,71191,Bagte blommer med sprød kiks og karameliserede hasselnøddesauce,1
59813,,,73823,Iskugle,1
59821,,,59837,The Classic,8
59821,,,59838,The Rudimental,1
59821,,,59839,The Garden,1
59821,,,59843,The Double,2
59821,,,59859,"San Pelegrino 0,25 l",1
59821,,,59863,"Lemon, lime, Cucumber & Mint  (V,VG)",2
59821,,,59999,The Classic Meal,42
59821,,,60003,Seasoned Fries + Double Dip,2
59821,,,60005,Smokey Barbecue Tofu,1
59821,,,60008,Homemade Burger Sauce,2
59821,,,60009,"Chocolate Shake 0,3 (V,VG)",2
59821,,,60010,"Raspberry Lemonade 0,3l (V, VG)",1
59821,,,60036,The Garden Meal,7
59821,,,60037,The Rudimental Meal,11
59821,,,60708,"Mango Shake 0,3 l (V,VG)",2
59821,,,61329,"The Double Meal (V,VG)",12
59821,,,61533,Unspecified,17
59821,,,61550,"The Real Deal Meal (V,VG)",1
59821,,,61589,The Real Deal (V.VG),2
59881,,,61989,Kylling Combo 1,3
59881,,,62002,Den græske,3
59881,,,62003,Kylling Combo 2,4
59881,,,62006,Den italienske,1
59881,,,62007,Tunmousse,2
59881,,,62008,Kylling og avocado,2
59881,,,62011,Kyllingefilet,2
59881,,,62025,Kyllingelår,3
59881,,,62026,Kyllingevinger,10
59881,,,62027,Kyllingespyd,2
59881,,,62028,Rotisserie kylling,2
59881,,,62029,Kylling Combo 3,3
59881,,,62032,Ovnstegte kartofler,1
59881,,,62036,Flødekartofler,2
59881,,,62040,Lille salat,1
59881,,,62042,Stor salat,1
59881,,,62107,Unspecified,17
59881,,,62232,FROKOST: Sandwich,43
59885,,,62719,Mango Lassi,1
59885,,,62721,"Sodavand 1,5 L.",4
59885,,,62732,"Pappadam (G, V)",1
59885,,,62733,Vegetar Samosa (V),1
59885,,,62736,Fish pakora,2
59885,,,62737,"Onion bhaji rings (G, V)",1
59885,,,62933,Unspecified,3
59889,,,63067,Margherita (V),2
59889,,,63068,Pepperoni,1
59889,,,63071,Francese,1
59889,,,63076,Paesana,1
59889,,,63077,Napoletana,2
59889,,,63079,Quattro formaggi (V),1
59889,,,63081,Bresaola,1
59889,,,63086,Patate & Bacon,1
59889,,,63091,Mantovana,2
59889,,,63092,Contadina,1
59889,,,63180,Kylling,3
59889,,,63182,Parmaskinke,1
59889,,,63454,Unspecified,3
59893,,,79855,Classic burger,28
59893,,,79856,Chicken Burger,16
59897,,,59906,Oliven,21
59897,,,59907,Polenta fritter med mayo,34
59897,,,59908,Nødder,13
59897,,,59909,Humus & brød,11
59897,,,59911,Artichoke,220
59897,,,59912,Broccolien,46
59897,,,59913,Potatos,207
59897,,,59914,Tofuen,44
59897,,,59915,Kejseren,65
59897,,,59916,Mushroom,160
59897,,,59917,Sunny Hawaii,98
59897,,,59918,Kikærten,13
59897,,,59919,Auberginen,45
59897,,,59920,Freestyle,33
59897,,,59921,Umamien,66
59897,,,59922,Den hvide,15
59897,,,59923,Focaccia,4
59897,,,59924,Vilde ris salat,8
59897,,,59927,Sandwich,13
59897,,,59928,Sæsonens suppe,18
59897,,,59929,Squash kage,5
59897,,,59932,Snickerskage,2
59897,,,59933,Cheesecake,3
59897,,,59935,Margarita,13
59897,,,59936,Blue Mojito,19
59897,,,59937,Pink Ginger,19
59897,,,59938,The Basil,7
59897,,,59939,Espresso Martini,6
59897,,,59940,Gin & Tonic,10
59897,,,59941,White Russian,1
59897,,,59942,Dark N Stormy,6
59897,,,59946,Rødvin,12
59897,,,59949,Hvidvin,12
59897,,,59950,Rosé,3
59897,,,59955,Orangevin,4
59897,,,59958,Bobler (cremant),3
59897,,,59960,"Bæst, Fadøl",41
59897,,,59961,"Højsommer, Fadøl",15
59897,,,59962,"Trylledrik, Fadøl",10
59897,,,59963,"Kornmod, Fadøl",9
59897,,,60460,Klassikeren,76
59897,,,60465,Portobello,27
59897,,,60480,Den Store Grillede,44
59897,,,60822,Latte,28
59897,,,61858,Unspecified,20
59897,,,61921,Superjuice,13
59897,,,66633,Espresso,6
59897,,,66634,Cortado,4
59897,,,66635,Varm Chokolade,11
59897,,,66636,Iskaffe,9
59897,,,66637,Americano,9
