"id","user_id","created","updated","place_id","status","type"
60594,423,1612819150,1659482246,59897,Inactive,Discount on specific menu items
60609,423,1612819657,1659482250,59897,Inactive,Discount on specific menu items
60610,423,1612820393,1659482250,59821,Inactive,"2 for 1 on specific menu items"
60611,423,1612820493,1659482250,59821,Inactive,Discount on specific menu items
61343,423,1614261570,1659482279,59821,Inactive,Discount on total bill
61353,423,1614298185,1659482279,59897,Inactive,Discount on total bill
62087,423,1615906603,1659482368,59821,Inactive,Discount on total bill
62595,423,1616423340,1659482417,59821,Inactive,Discount on total bill
62667,423,1616440487,1659482417,59821,Inactive,Discount on total bill
62676,423,1616457337,1659482421,59897,Inactive,Discount on specific menu items
62714,423,1616525015,1659482421,59821,Inactive,Discount on total bill
63899,423,1618146948,1659482473,59897,Inactive,Discount on total bill
67973,417,1623920385,1659482684,59813,Inactive,Discount on specific menu items
68737,424,1625271185,1659482688,61698,Inactive,Freebie
68738,424,1625272881,1659482688,61698,Inactive,Freebie
69639,1201,1627301603,1659482700,67521,Inactive,Discount on total bill
70889,417,1629731218,1659482709,59897,Inactive,Freebie
71565,424,1630910017,1659482712,59897,Inactive,Discount on total bill
71566,424,1630912356,1659482712,59813,Inactive,Discount on total bill
71567,424,1630912410,1659482712,64276,Inactive,Discount on total bill
71568,424,1630912465,1664539201,67521,Inactive,Discount on total bill
71569,424,1630912702,1659482712,64643,Inactive,Discount on total bill
72092,417,1633132249,1659482712,59897,Inactive,"2 for 1 on specific menu items"
72306,417,1633455720,1659482712,59897,Inactive,"2 for 1 on specific menu items"
72372,1372,1633527787,1659482722,59897,Inactive,Freebie
72512,417,1633691700,1659482729,59897,Inactive,"2 for 1 on specific menu items"
72526,417,1633707601,1659482729,59897,Inactive,"2 for 1 on specific menu items"
72628,417,1633722781,1659482729,59897,Inactive,"2 for 1 on specific menu items"
72654,417,1633723200,1659482729,59897,Inactive,"2 for 1 on specific menu items"
72655,417,1633723200,1659482729,59897,Inactive,"2 for 1 on specific menu items"
72892,417,1633809241,1659482729,59897,Inactive,"2 for 1 on specific menu items"
72894,417,1633809601,1659482729,59897,Inactive,"2 for 1 on specific menu items"
72895,417,1633809601,1659482729,59897,Inactive,"2 for 1 on specific menu items"
72896,417,1633809601,1659482729,59897,Inactive,"2 for 1 on specific menu items"
72897,417,1633809601,1659482729,59897,Inactive,"2 for 1 on specific menu items"
72898,417,1633809601,1659482758,59897,Inactive,"2 for 1 on specific menu items"
72899,417,1633809601,1659482758,59897,Inactive,"2 for 1 on specific menu items"
72926,417,1633869301,1659482758,59897,Inactive,"2 for 1 on specific menu items"
72928,417,1633871100,1659482758,59897,Inactive,"2 for 1 on specific menu items"
72930,417,1633871641,1659482758,59897,Inactive,"2 for 1 on specific menu items"
72932,417,1633880220,1659482758,59897,Inactive,"2 for 1 on specific menu items"
72934,417,1633880280,1659482758,59897,Inactive,"2 for 1 on specific menu items"
72936,417,1633884061,1659482758,59897,Inactive,"2 for 1 on specific menu items"
72938,417,1633884120,1659482758,59897,Inactive,"2 for 1 on specific menu items"
72939,417,1633884120,1659482758,59897,Inactive,"2 for 1 on specific menu items"
72965,417,1633887060,1659482790,59897,Inactive,"2 for 1 on specific menu items"
72972,417,1633952506,1659482790,64276,Inactive,Discount on specific menu items
73010,417,1633972021,1659482790,59897,Inactive,"2 for 1 on specific menu items"
73048,417,1634055721,1659482790,59897,Inactive,"2 for 1 on specific menu items"
73179,417,1634155201,1659482790,59897,Inactive,"2 for 1 on specific menu items"
73180,417,1634155201,1659482790,59897,Inactive,"2 for 1 on specific menu items"
73199,417,1634224080,1659482790,64276,Inactive,Discount on specific menu items
73201,417,1634238060,1659482790,64276,Inactive,Discount on specific menu items
73343,417,1634404440,1659482790,59897,Inactive,"2 for 1 on specific menu items"
73408,417,1634485440,1659482790,59897,Inactive,"2 for 1 on specific menu items"
73409,417,1634485440,1659482819,59897,Inactive,"2 for 1 on specific menu items"
73460,417,1634499300,1659482819,59897,Inactive,"2 for 1 on specific menu items"
73493,417,1634570640,1659482819,59897,Inactive,"2 for 1 on specific menu items"
73495,417,1634570700,1659482819,59897,Inactive,"2 for 1 on specific menu items"
73506,417,1634582940,1659482819,59897,Inactive,"2 for 1 on specific menu items"
73507,417,1634582940,1659482819,59897,Inactive,"2 for 1 on specific menu items"
73510,417,1634583000,1659482819,59897,Inactive,"2 for 1 on specific menu items"
73514,417,1634651760,1659482819,59897,Inactive,"2 for 1 on specific menu items"
73573,417,1634747400,1659482819,59897,Inactive,"2 for 1 on specific menu items"
73695,417,1635172680,1659482849,59897,Inactive,"2 for 1 on specific menu items"
73697,417,1635172740,1659482849,59897,Inactive,"2 for 1 on specific menu items"
73825,417,1635419581,1659482849,59897,Inactive,"2 for 1 on specific menu items"
73858,417,1635508561,1659482849,64276,Inactive,Discount on specific menu items
73860,417,1635508620,1659482849,64276,Inactive,Discount on specific menu items
73994,417,1635603480,1659482849,64276,Inactive,Discount on specific menu items
73996,417,1635604141,1659482849,59897,Inactive,"2 for 1 on specific menu items"
74029,417,1635623700,1659482869,59897,Inactive,"2 for 1 on specific menu items"
74031,417,1635623761,1659482869,59897,Inactive,"2 for 1 on specific menu items"
74055,417,1635690960,1659482869,59897,Inactive,"2 for 1 on specific menu items"
74056,417,1635690960,1659482869,59897,Inactive,"2 for 1 on specific menu items"
74059,417,1635691020,1659482869,59897,Inactive,"2 for 1 on specific menu items"
74124,417,1635973200,1659482869,59897,Inactive,"2 for 1 on specific menu items"
74274,417,1636123080,1659482869,59897,Inactive,"2 for 1 on specific menu items"
74310,417,1636145460,1659482869,59897,Inactive,"2 for 1 on specific menu items"
74312,417,1636145521,1659482869,59897,Inactive,"2 for 1 on specific menu items"
75910,417,1636367549,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75926,417,1636368401,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75927,417,1636368401,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75930,417,1636368402,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75932,417,1636368402,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75941,417,1636368402,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75944,417,1636368403,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75951,417,1636368403,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75955,417,1636368403,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75961,417,1636368404,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75964,417,1636368404,1659482932,59897,Inactive,"2 for 1 on specific menu items"
75971,417,1636368405,1659482932,59897,Inactive,"2 for 1 on specific menu items"
75974,417,1636368405,1659482932,59897,Inactive,"2 for 1 on specific menu items"
75980,417,1636368405,1659482932,59897,Inactive,"2 for 1 on specific menu items"
