"id","user_id","created","updated","title","activated","active","bankrupt","binding_period","chain_id","contact_email","contact_mobile_phone","contract_start","country","currency","cvr_number","duplicate","ecommerce_fee","eu_commission","invoicing_start_date","isv_commission","isv_partner","non_eu_commission","onboarded_by","payment_terminal_provider","area_id","processing_fee","sales_outcome_id","sales_stage","service_charge","setup_type","termination_date","termination_value","transferred_contract","type_id","cashier_ids","manager_ids","driver_ids","payment_terminal_ids","kitchen_staff_ids","contact_name","description","cuisine_ids","trainee_mode","demo_mode","default_order_type_cashier","default_order_type_customer","show_bestsellers","use_quick_search","display_cashier_images","display_created_by","use_customer_facing_display","timezone","contact_language","business_name","area","street_address","suppress_receipt_prompt","print_on_acceptance","enable_receipt_download","enable_email_receipts","customer_receipt_cc","customer_receipt_msg","daily_sales_reports","monthly_sales_reports","sales_report_email","logo","image_1","image_2","image_3","image_4","image_5","phone","email","website","facebook","instagram","takeaway_link","delivery_link","table_booking_link","opening_hours","enable_cashback","enable_voucher_payment","inventory_management","seasonal","moved_to_competition","dormant","dormant_partner","dead_lead","closed","collect_customer_info_takeaway","collect_customer_info_eat_in","collect_customer_info_delivery","nets_mid","realm","auto_accept_delivery","auto_accept_eat_in","auto_accept_table_bookings","auto_accept_takeaway","auto_close_delivery","auto_close_eat_in","auto_close_takeaway","auto_hide_orders_eat_in","auto_sms_topup","average_driver_speed","call_specific_waiter","call_waiter","call_waiter_interval","cash_pay_delivery","cash_pay_eat_in","cash_pay_takeaway","cashier_homepage","accepting_orders","allow_future_pickup_time","allow_refunds","default_payment_method","delivery","delivery_qr_code_link","delivery_radius","demo_end","display_cashier_prices","display_in_app","display_item_ratings","display_order_status","dynamic_location","eat_in","ecom_provider","enable_barcode_scanning","enable_cash_in_out","enable_ecommerce_payments","enable_nfc_login","enable_ordered_printing","enable_other_payment","enable_qr_code_payment","enable_qr_code_receipt","enable_sms_on_ready","first_day_of_week","force_table_number","force_upfront_pay_delivery","force_upfront_pay_eat_in","force_upfront_pay_takeaway","immediate_payment_delivery","immediate_payment_eat_in","immediate_payment_takeaway","in_app_pay_delivery","in_app_pay_eat_in","in_app_pay_takeaway","isv_source_code","language","latitude","longitude","loyalty_program","min_guests","minimum_delivery_amount","not_accepting_orders_msg","payment_terminal_pay_delivery","payment_terminal_pay_eat_in","payment_terminal_pay_takeaway","print_on_payment","print_on_refund","print_sold_items","prompt_for_tip_delivery","prompt_for_tip_eat_in","prompt_for_tip_takeaway","protect_sensitive_sections","rating","receipt_printing_enabled","receive_phone_calls","skip_order_confirmation","slot_duration","sms_balance","sms_on_ready_text","suppress_print_receipt_prompt","table_bookings","takeaway","takeaway_qr_code_link","terminal_provider","theme","tiered_loyalty_program","vat","vip_threshold","visit_duration","votes","waiting_time","unspecified_section_id","unspecified_item_id","enable_sms_on_order","sms_on_order_text","exclude_from_ops_report"
59813,417,1610718144,1744221291,Green Love,0,0,0,36,,place_59813@example.com,+4559813,,DK,DKK,"30025334",0,0.0,0.0,,2.0,0,0.0,lovingloyalty,,11434,0.0,,Shop info filled,0.0,,,,0,1335,"424|551","423|551|424","","","",Mr./Mrs. 59813,"Green Love er et plantebaseret vegansk spisested med fokus på god stemning, hyggelig atmosfære og på mad af økologiske og biodynamiske råvarer. Al maden er håndfremstillet af de friskeste råvarer","12179",0,0,Takeaway,Takeaway,1,0,1,0,0,Europe/Copenhagen,da,,"2000 Frederiksberg",Godthåbsvej 142,1,0,0,0,,,1,1,,,https://storage.googleapis.com/loving-loyalty-1590a-public/59813_brunch.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59813_6.jpeg,https://storage.googleapis.com/loving-loyalty-1590a-public/59813_5.jpeg,https://storage.googleapis.com/loving-loyalty-1590a-public/59813_2.png,,+4559813,place_59813@example.com,https://greenlove.dk/,https://www.facebook.com/Green-Love-Denmark-102745787783258,https://www.instagram.com/green_love_denmark/,https://lovingloyalty.page.link/ayw8rvzr1AeGcBtH9,https://lovingloyalty.page.link/dbKQdPDpBCBuMy1MA,,"{""monday"":{""from"":""closed"",""to"":""00.00""},""tuesday"":{""from"":""16.30"",""to"":""20.30""},""wednesday"":{""from"":""16.30"",""to"":""20.30""},""thursday"":{""from"":""16.30"",""to"":""20.30""},""friday"":{""from"":""16.30"",""to"":""20.30""},""saturday"":{""from"":""16.30"",""to"":""20.30""},""sunday"":{""from"":""10.30"",""to"":""20.30""}}",0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,1,1,0,1,40,0,1,60,0,1,1,menu,1,0,1,payment_terminal,0,,5.0,,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,1,0,0,0,,da,55.6897740,55.6897740,1,1,0.0,,0,1,1,0,1,0,0,0,0,1,198.0,1,1,0,30,0,,1,0,1,,,,0,25.0,20,90,22,25,5972947,306775,0,,0
59817,417,1610718304,1744221291,Grønnere,0,0,0,36,,place_59817@example.com,+4559817,,DK,DKK,"41235586",0,0.0,0.0,,2.0,0,0.0,lovingloyalty,,11437,0.0,,Shop info filled,0.0,,,,0,1335,"424","423","","","",Mr./Mrs. 59817,,"12172|12147",0,0,Takeaway,Takeaway,1,0,1,0,0,Europe/Copenhagen,da,,"2200 København N",Fælledvej 14,1,0,0,0,,,1,1,,,https://storage.googleapis.com/loving-loyalty-1590a-public/59817_image1_0.png,https://storage.googleapis.com/loving-loyalty-1590a-public/59817_image2_0.png,https://storage.googleapis.com/loving-loyalty-1590a-public/59817_image4_0.png,,,+4559817,place_59817@example.com,http://groennerecafe.dk/,https://www.facebook.com/groennere/,https://www.instagram.com/groennerecafe/,https://lovingloyalty.page.link/bCnaD8SKS2YNVHmeA,https://lovingloyalty.page.link/WAU4gVWT2wedUxeG6,,"{""monday"":{""from"":""closed"",""to"":""00.00""},""tuesday"":{""from"":""closed"",""to"":""00.00""},""wednesday"":{""from"":""09.00"",""to"":""17.00""},""thursday"":{""from"":""09.00"",""to"":""17.00""},""friday"":{""from"":""09.00"",""to"":""17.00""},""saturday"":{""from"":""09.00"",""to"":""17.00""},""sunday"":{""from"":""09.00"",""to"":""17.00""}}",0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,1,1,0,1,40,0,1,60,0,1,1,menu,1,0,1,payment_terminal,0,,5.0,,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,1,0,0,0,,da,55.6893518,55.6893518,1,1,0.0,Lukket på grund af Corona,0,1,1,0,1,0,0,0,0,1,0.0,0,0,0,30,0,,1,0,1,,,,0,25.0,20,90,0,15,5972948,306777,0,,0
59821,417,1610866418,1744221291,Eden Jaxx,0,0,0,36,,place_59821@example.com,+4559821,,DK,DKK,"41465549",0,0.0,0.0,,2.0,0,0.0,lovingloyalty,,11435,0.0,,Shop info filled,0.0,,,,0,1335,"436|424","436|423","","","",Mr./Mrs. 59821,,"12159|12147|12179",0,0,Takeaway,Takeaway,1,0,1,0,0,Europe/Copenhagen,en,,"2100 København Ø",Rosenvængets Allé 3A,1,0,0,0,,,1,1,,,https://storage.googleapis.com/loving-loyalty-1590a-public/59821_eden_meal.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59821_eden_grill.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59821_eden_front.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59821_eden_three_burgers.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59821_eden_drinks.jpg,+4559821,place_59821@example.com,https://edenjaxx.dk/,https://www.facebook.com/edenjaxxx/,https://www.instagram.com/terms/unblock/?next=/accounts/fb_profile/?hl=da,https://lovingloyalty.page.link/9g4cJKRvVR1mApiJ7,https://lovingloyalty.page.link/dj9fsF6W3uNs2ZJGA,,"{""monday"":{""from"":""12.00"",""to"":""20.30""},""tuesday"":{""from"":""12.00"",""to"":""20.30""},""wednesday"":{""from"":""12.00"",""to"":""20.30""},""thursday"":{""from"":""11.00"",""to"":""20.30""},""friday"":{""from"":""12.00"",""to"":""20.30""},""saturday"":{""from"":""12.00"",""to"":""20.30""},""sunday"":{""from"":""12.00"",""to"":""20.30""}}",0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,1,1,0,1,40,0,1,60,0,1,1,menu,0,0,1,payment_terminal,0,,5.0,,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,1,0,0,0,,en,55.6988561,55.6988561,1,1,0.0,,0,1,1,0,1,0,0,0,0,1,75.0,0,1,0,30,0,,1,0,1,,,,0,25.0,20,90,8,25,5972949,306779,0,,0
59881,417,1610999184,1744221291,Crazy Chicken,0,0,0,36,,place_59881@example.com,+4559881,,DK,DKK,"25013891",0,0.0,0.0,,2.0,0,0.0,lovingloyalty,,11435,0.0,,Shop info filled,0.0,,,,0,1335,"424|736|765","423","","","",Mr./Mrs. 59881,,"12175|12174|12147|12182",0,0,Takeaway,Takeaway,1,0,1,0,0,Europe/Copenhagen,da,,"2100 København Ø",Rosenvængets Allé 1,1,0,0,0,,,1,1,,,https://storage.googleapis.com/loving-loyalty-1590a-public/59881_crazychickensalad.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59881_crazy_1_2_0.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59881_crazy_chicken13894___v2.jpg,,,+4559881,place_59881@example.com,,https://www.facebook.com/crazychicken2100,https://www.instagram.com/crazy_chicken.dk/,https://lovingloyalty.page.link/sn8t1trAPdJs2JR1A,https://lovingloyalty.page.link/vc3EyGzEjbFJ1Vfp6,,"{""monday"":{""from"":""11.00"",""to"":""20.00""},""tuesday"":{""from"":""11.00"",""to"":""20.00""},""wednesday"":{""from"":""00.00"",""to"":""20.00""},""thursday"":{""from"":""11.00"",""to"":""20.00""},""friday"":{""from"":""11.00"",""to"":""20.00""},""saturday"":{""from"":""11.00"",""to"":""20.00""},""sunday"":{""from"":""11.00"",""to"":""20.00""}}",0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,1,1,0,1,40,0,1,60,0,1,1,menu,0,0,1,payment_terminal,0,,5.0,,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,1,0,0,0,,da,55.6987828,55.6987828,1,1,0.0,,0,1,1,0,1,0,0,0,0,1,108.0,0,0,0,30,0,,1,0,1,,,,0,25.0,20,90,11,10,5972950,306781,0,,0
59885,417,1610999187,1744221291,Mint,0,0,0,36,,place_59885@example.com,+4559885,,DK,DKK,"36975636",0,0.0,0.0,,2.0,0,0.0,lovingloyalty,,11219,0.0,,Shop info filled,0.0,,,,0,1335,"424|803","423|802","","","",Mr./Mrs. 59885,,"12080|12147",0,0,Takeaway,Takeaway,1,0,1,0,0,Europe/Copenhagen,en,,"1620 København V",Vesterbrogade 39,1,0,0,0,,,1,1,,,https://storage.googleapis.com/loving-loyalty-1590a-public/59885_capture1.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59885_capture5.jpg,,,,+4559885,place_59885@example.com,https://indiaroyale.dk/restaurant-take-away-vesterbro/,https://www.facebook.com/mintbyindiaroyale/,https://www.instagram.com/mint_by_india_royale/,https://lovingloyalty.page.link/S1a9XZFxT6w2PFyR9,https://lovingloyalty.page.link/jFPE9cZyYj81muCj8,,"{""monday"":{""from"":""16.00"",""to"":""21.00""},""tuesday"":{""from"":""16.00"",""to"":""21.00""},""wednesday"":{""from"":""16.00"",""to"":""21.00""},""thursday"":{""from"":""16.00"",""to"":""21.00""},""friday"":{""from"":""16.00"",""to"":""21.00""},""saturday"":{""from"":""16.00"",""to"":""21.00""},""sunday"":{""from"":""16.00"",""to"":""21.00""}}",0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,1,1,0,1,40,0,1,60,0,1,1,menu,0,0,1,payment_terminal,0,,5.0,,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,1,0,0,0,,en,55.6723977,55.6723977,1,1,200.0,"Pga Covid - 19,  tag vi kun telefon bestilling",0,1,1,0,1,0,0,0,0,1,0.0,0,0,0,30,0,,1,0,1,,,,0,25.0,20,90,0,20,5972951,306783,0,,0
59889,417,1610999192,1744221291,Pizza Art,0,0,0,36,63365,place_59889@example.com,+4559889,,DK,DKK,"36243376",0,0.0,0.0,,2.0,0,0.0,lovingloyalty,,11438,0.0,,Shop info filled,0.0,,,,0,1335,"424|801|847","423|801","","","",Mr./Mrs. 59889,,"12158|12167",0,0,Takeaway,Takeaway,1,0,1,0,0,Europe/Copenhagen,da,,"2300 København S",Amagerbrogade 131,1,0,0,0,,,1,1,,,https://storage.googleapis.com/loving-loyalty-1590a-public/59889_capture3_0.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59889_1.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59889_4.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59889_capture2_0.jpg,,+4559889,place_59889@example.com,https://www.pizza-art.dk/,https://www.facebook.com/Pizza-Art-Food-truck-764607113623880,,https://lovingloyalty.page.link/n8KdZwFcmnjXo5yG9,https://lovingloyalty.page.link/ff6X7XxjtCS4y85Q7,,"{""monday"":{""from"":""11.00"",""to"":""21.00""},""tuesday"":{""from"":""11.00"",""to"":""21.00""},""wednesday"":{""from"":""11.00"",""to"":""21.00""},""thursday"":{""from"":""11.00"",""to"":""21.00""},""friday"":{""from"":""11.00"",""to"":""21.00""},""saturday"":{""from"":""11.00"",""to"":""21.00""},""sunday"":{""from"":""11.00"",""to"":""21.00""}}",0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,1,1,0,1,40,0,1,60,0,1,1,menu,1,0,1,payment_terminal,0,,5.0,,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,1,0,0,0,,da,55.6571330,55.6571330,1,1,0.0,,0,1,1,0,1,0,0,0,0,1,10.0,0,0,0,30,0,,1,0,1,,,,0,25.0,20,90,1,15,5972952,306785,0,,0
59893,417,1610999502,1750393900,Burger Heaven,0,0,0,1,,place_59893@example.com,+4559893,,AE,AED,"31684234",0,0.0,0.0,,2.0,0,0.0,lovingloyalty,,12184,0.0,12284,Shop info filled,0.0,,,,0,1335,"945","945|424","","424","",Mr./Mrs. 59893,,"12159",0,0,Takeaway,Takeaway,0,1,0,0,0,Asia/Dubai,en,Burger Heaven,Al Shahama,"Villa 4140, Hydra Village",0,0,0,0,,,0,0,,,https://storage.googleapis.com/loving-loyalty-1590a-public/59893_best_burger_4_500x375_0.jpg,,,,,+4559893,place_59893@example.com,,,,https://lovingloyalty.page.link/T5dL9vjR1b2vd7dy7,https://lovingloyalty.page.link/uMTn1xjoVvcuRy6P6,,"{""monday"":{""from"":""00.00"",""to"":""23.30""},""tuesday"":{""from"":""08.00"",""to"":""04.30""},""wednesday"":{""from"":""08.00"",""to"":""02.30""},""thursday"":{""from"":""09.00"",""to"":""02.30""},""friday"":{""from"":""09.00"",""to"":""02.30""},""saturday"":{""from"":""09.00"",""to"":""02.00""},""sunday"":{""from"":""09.00"",""to"":""23.00""}}",0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,90,0,0,60,0,0,1,active_orders,1,1,0,payment_terminal,0,,10.0,,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,1,1,,en,24.5485100,24.5485100,0,1,0.0,,0,0,0,1,0,0,0,0,0,0,10.0,1,0,0,30,0,,0,0,1,,,,0,5.0,20,90,1,15,428602,306787,0,,0
59897,417,1611004461,1754386445,Mash Ringsted Havn,1,1,0,1,,place_59897@example.com,+4559897,1699701937,DK,DKK,"31684234",0,0.0,0.0,,1.0,0,0.0,lovingloyalty,vivawallet,11437,0.0,12284,Contract signed,0.0,takeaway,1731283200,,0,1335,"424|22553|22595|22995|22996|22557|22615|22965|23086|1351|22615|22567|23632|23633|23720|23734","","","22553|22595|22996|23086|23632|23633|23734","",Mr./Mrs. 59897,Hos Plads’n forkæles du med veganske mad i fantastiske omgivelser.,"12158|12179",0,0,Takeaway,Takeaway,0,1,1,0,1,Europe/Copenhagen,en,Mash Ringsted Havn,"2200 København N",Blågårdsgade 27,0,1,1,1,prabhat.chandak@clanap.com,Thank you for Order,1,1,,https://lovingloyalty.com/sites/default/files/2025-06/Ragnhilds-Logo.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/59897_image1.png,https://storage.googleapis.com/loving-loyalty-1590a-public/59897_image2.png,https://storage.googleapis.com/loving-loyalty-1590a-public/59897_image3.png,https://storage.googleapis.com/loving-loyalty-1590a-public/59897_image4.png,https://storage.googleapis.com/loving-loyalty-1590a-public/59897_1708806825_65da52a907449.jpg,+4559897,place_59897@example.com,,https://www.facebook.com/pladsncopenhagen,https://www.instagram.com/plads_n/?hl=en,https://lovingloyalty.page.link/od3kfLPBSeCuSHtb7,https://lovingloyalty.page.link/TAxaqNjT9PfmMdoo9,,"{""monday"":{""from"":""00.00"",""to"":""23.30""},""tuesday"":{""from"":""07.00"",""to"":""22.00""},""wednesday"":{""from"":""07.00"",""to"":""02.00""},""thursday"":{""from"":""03.00"",""to"":""23.30""},""friday"":{""from"":""07.00"",""to"":""22.00""},""saturday"":{""from"":""07.00"",""to"":""03.00""},""sunday"":{""from"":""07.00"",""to"":""02.00""}}",1,1,1,0,0,0,0,0,0,1,0,0,,,1,1,0,1,0,1,0,0,1,10,0,1,60,0,1,1,menu,1,1,0,payment_terminal,0,,10.0,,1,0,1,0,0,1,vivawallet,1,1,0,0,0,0,0,0,1,"1",1,1,0,1,0,0,1,1,1,1,"4308",en,55.6861720,55.6861720,0,1,100.0,Kære trofaste gæster og venner. Vi følger nøje regeringens anbefalinger og vi må desværre lukke restauranten  fra: 21-31 Dec. Vi glæder at se jer i det nye år.  Glædelig jul og godt nytår til alle!,0,1,1,0,0,0,0,0,0,0,685.0,1,0,1,30,-2,"Hej @customer

Din Cykel er klar til afhentning @hours

Med venlig hilsen, 
@place",0,0,1,,vivawallet,,0,25.0,20,90,71,15,424471,306789,0,,0
60019,417,1611661628,1744221291,Hidmona,0,0,0,36,,place_60019@example.com,+4560019,,DK,DKK,"40683194",0,0.0,0.0,,2.0,0,0.0,lovingloyalty,,11437,0.0,,Shop info filled,0.0,,,,0,1335,"424|992|1224","423|992|1224","","","",Mr./Mrs. 60019,,"12178|12176|12177",0,0,Takeaway,Takeaway,1,0,1,0,0,Europe/Copenhagen,en,,"2200 København N",Griffenfeldsgade 7,1,0,0,0,,,1,1,,,https://storage.googleapis.com/loving-loyalty-1590a-public/60019_capture1_0.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/60019_capture2_2.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/60019_capture3_1.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/60019_capture4_0.jpg,https://storage.googleapis.com/loving-loyalty-1590a-public/60019_img_0622.jpg,+4560019,place_60019@example.com,,https://www.facebook.com/Hidmonarestaurant,https://www.instagram.com/hidmona_restaurant/?hl=da,https://lovingloyalty.page.link/9wKfkyp1yUs7ijkPA,https://lovingloyalty.page.link/m218eVd98amacZ9eA,,"{""monday"":{""from"":""14.00"",""to"":""22.00""},""tuesday"":{""from"":""12.00"",""to"":""22.00""},""wednesday"":{""from"":""12.00"",""to"":""22.00""},""thursday"":{""from"":""12.00"",""to"":""22.00""},""friday"":{""from"":""12.00"",""to"":""22.00""},""saturday"":{""from"":""12.00"",""to"":""22.00""},""sunday"":{""from"":""12.00"",""to"":""22.00""}}",0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,1,1,0,1,40,0,1,60,0,1,1,menu,0,0,1,payment_terminal,0,,5.0,,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,1,0,0,0,,en,55.6888168,55.6888168,1,1,0.0,,0,1,1,0,1,0,0,0,0,1,10.0,1,0,0,30,0,,1,0,1,,,,0,25.0,20,90,1,15,5972953,306791,0,,0
61448,417,1614716631,1744221291,Govinda,0,0,0,36,,place_61448@example.com,+4561448,,DK,DKK,"34357870",0,0.0,0.0,,2.0,0,0.0,lovingloyalty,,11229,0.0,,Shop info filled,0.0,,,,0,1335,"671|424","671|423","","","",Mr./Mrs. 61448,,"12080|12147|12179",0,0,Takeaway,Takeaway,1,0,1,0,0,Europe/Copenhagen,en,,"1635 København V",Åboulevard 7,1,0,0,0,,,1,1,,,https://storage.googleapis.com/loving-loyalty-1590a-public/61448_1.png,https://storage.googleapis.com/loving-loyalty-1590a-public/61448_2.png,https://storage.googleapis.com/loving-loyalty-1590a-public/61448_3.png,https://storage.googleapis.com/loving-loyalty-1590a-public/61448_4.png,https://storage.googleapis.com/loving-loyalty-1590a-public/61448_5.png,+4561448,place_61448@example.com,https://govinda.dk/,https://www.facebook.com/eatatgovinda,https://www.instagram.com/eatatgovinda/,https://lovingloyalty.page.link/ELfdvVFVSaBiSsNf8,https://lovingloyalty.page.link/unVRuuGKYY9XHHd88,,"{""monday"":{""from"":""16.00"",""to"":""22.00""},""tuesday"":{""from"":""16.00"",""to"":""22.00""},""wednesday"":{""from"":""15.30"",""to"":""22.00""},""thursday"":{""from"":""16.00"",""to"":""22.00""},""friday"":{""from"":""16.00"",""to"":""22.00""},""saturday"":{""from"":""16.00"",""to"":""22.00""},""sunday"":{""from"":""16.00"",""to"":""22.00""}}",0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,1,1,0,1,40,0,1,60,0,1,1,menu,1,0,1,payment_terminal,0,,5.0,,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,1,0,0,0,,en,55.6946944,55.6946944,1,1,0.0,,0,1,1,0,1,0,0,0,0,1,27.0,1,1,0,30,0,,1,0,1,,,,0,25.0,20,90,3,15,5972954,306795,0,,0
