date,day_name,shift,orders,staff_needed
2024-02-17,Saturday,Afternoon,10,2
2024-02-17,Saturday,Evening,17,2
2024-02-17,Saturday,Morning,17,2
2024-02-17,Saturday,Night,8,2
2024-02-18,Sunday,Afternoon,10,2
2024-02-18,Sunday,Evening,17,2
2024-02-18,Sunday,Morning,17,2
2024-02-18,Sunday,Night,8,2
2024-02-19,Monday,Afternoon,10,2
2024-02-19,Monday,Evening,15,2
2024-02-19,Monday,Morning,12,2
2024-02-19,Monday,Night,6,2
2024-02-20,Tuesday,Afternoon,10,2
2024-02-20,Tuesday,Evening,15,2
2024-02-20,Tuesday,Morning,12,2
2024-02-20,Tuesday,Night,6,2
2024-02-21,Wednesday,Afternoon,10,2
2024-02-21,Wednesday,Evening,15,2
2024-02-21,Wednesday,Morning,12,2
2024-02-21,Wednesday,Night,6,2
2024-02-22,Thursday,Afternoon,10,2
2024-02-22,Thursday,Evening,15,2
2024-02-22,Thursday,Morning,12,2
2024-02-22,Thursday,Night,6,2
2024-02-23,Friday,Afternoon,10,2
2024-02-23,Friday,Evening,18,2
2024-02-23,Friday,Morning,12,2
2024-02-23,Friday,Night,8,2
